INFO 2025-09-28 16:58:09,431 autoreload 12627 140124898037504 Watching for file changes with StatReloader
INFO 2025-09-28 17:00:28,537 basehttp 12627 140124490823360 "OPTIONS /api/dashboard/overview/ HTTP/1.1" 200 0
INFO 2025-09-28 17:00:28,537 basehttp 12627 140124482430656 "OPTIONS /api/dashboard/overview/ HTTP/1.1" 200 0
INFO 2025-09-28 17:00:28,564 basehttp 12627 140124482430656 "GET /api/dashboard/overview/ HTTP/1.1" 200 225
INFO 2025-09-28 17:00:28,616 basehttp 12627 140124490823360 "OPTIONS /api/dashboard/activities/recent/ HTTP/1.1" 200 0
INFO 2025-09-28 17:00:28,646 basehttp 12627 140124482430656 "GET /api/dashboard/overview/ HTTP/1.1" 200 225
INFO 2025-09-28 17:00:28,713 basehttp 12627 140124490823360 "GET /api/dashboard/activities/recent/ HTTP/1.1" 200 5000
INFO 2025-09-28 17:00:28,775 basehttp 12627 140124490823360 "OPTIONS /api/dashboard/metrics/chart/?type=revenue_monthly HTTP/1.1" 200 0
INFO 2025-09-28 17:00:28,839 basehttp 12627 140124482430656 "GET /api/dashboard/activities/recent/ HTTP/1.1" 200 5000
INFO 2025-09-28 17:00:28,854 basehttp 12627 140124490823360 "GET /api/dashboard/metrics/chart/?type=revenue_monthly HTTP/1.1" 200 169
INFO 2025-09-28 17:00:28,915 basehttp 12627 140124490823360 "GET /api/dashboard/metrics/chart/?type=revenue_monthly HTTP/1.1" 200 169
INFO 2025-09-28 17:00:36,483 basehttp 12627 140124490823360 "OPTIONS /api/clients/?ordering=-created_at HTTP/1.1" 200 0
INFO 2025-09-28 17:00:36,484 basehttp 12627 140124482430656 "OPTIONS /api/clients/?ordering=-created_at HTTP/1.1" 200 0
INFO 2025-09-28 17:00:36,560 basehttp 12627 140124482430656 "GET /api/clients/?ordering=-created_at HTTP/1.1" 200 1850
INFO 2025-09-28 17:00:36,664 basehttp 12627 140124482430656 "GET /api/clients/?ordering=-created_at HTTP/1.1" 200 1850
INFO 2025-09-28 17:00:45,219 basehttp 12627 140124482430656 "OPTIONS /api/clients/1/ HTTP/1.1" 200 0
INFO 2025-09-28 17:00:45,341 basehttp 12627 140124482430656 "DELETE /api/clients/1/ HTTP/1.1" 204 0
INFO 2025-09-28 17:00:47,854 basehttp 12627 140124482430656 "GET /api/dashboard/overview/ HTTP/1.1" 200 225
INFO 2025-09-28 17:00:47,917 basehttp 12627 140124482430656 "GET /api/dashboard/overview/ HTTP/1.1" 200 225
INFO 2025-09-28 17:00:47,972 basehttp 12627 140124490823360 "GET /api/dashboard/activities/recent/ HTTP/1.1" 200 5000
INFO 2025-09-28 17:00:48,021 basehttp 12627 140124482430656 "GET /api/dashboard/metrics/chart/?type=revenue_monthly HTTP/1.1" 200 169
INFO 2025-09-28 17:00:48,063 basehttp 12627 140124490823360 "GET /api/dashboard/activities/recent/ HTTP/1.1" 200 5000
INFO 2025-09-28 17:00:48,212 basehttp 12627 140124490823360 "GET /api/dashboard/metrics/chart/?type=revenue_monthly HTTP/1.1" 200 169
INFO 2025-09-28 17:00:54,744 basehttp 12627 140124490823360 "OPTIONS /api/content/website/?ordering=-updated_at HTTP/1.1" 200 0
INFO 2025-09-28 17:00:54,744 basehttp 12627 140124482430656 "OPTIONS /api/content/website/?ordering=-updated_at HTTP/1.1" 200 0
INFO 2025-09-28 17:00:54,789 basehttp 12627 140124482430656 "GET /api/content/website/?ordering=-updated_at HTTP/1.1" 200 1206
INFO 2025-09-28 17:00:54,842 basehttp 12627 140124482430656 "GET /api/content/website/?ordering=-updated_at HTTP/1.1" 200 1206
INFO 2025-09-28 17:01:05,098 basehttp 12627 140124482430656 "OPTIONS /api/content/blog/?ordering=-created_at HTTP/1.1" 200 0
INFO 2025-09-28 17:01:05,156 basehttp 12627 140124482430656 "GET /api/content/blog/?ordering=-created_at HTTP/1.1" 200 4123
INFO 2025-09-28 17:01:12,013 basehttp 12627 140124482430656 "GET /api/clients/?ordering=-created_at HTTP/1.1" 200 1192
INFO 2025-09-28 17:01:12,039 basehttp 12627 140124482430656 "GET /api/clients/?ordering=-created_at HTTP/1.1" 200 1192
INFO 2025-09-28 17:01:15,174 basehttp 12627 140124482430656 "GET /api/content/website/?ordering=-updated_at HTTP/1.1" 200 1206
